app_id,category_short,category_long
ecowork.housefun,House & Home,/store/apps/category/HOUSE_AND_HOME
com.hse28.hse28_2,House & Home,/store/apps/category/HOUSE_AND_HOME
com.ddangya.app,House & Home,/store/apps/category/HOUSE_AND_HOME
com.ire.tenantapp,House & Home,/store/apps/category/HOUSE_AND_HOME
com.zingat.emlak,House & Home,/store/apps/category/HOUSE_AND_HOME
au.com.realestate.app,House & Home,/store/apps/category/HOUSE_AND_HOME
com.addcn.android.hk591new,House & Home,/store/apps/category/HOUSE_AND_HOME
kr.co.namanapp.leasehouse,House & Home,/store/apps/category/HOUSE_AND_HOME
com.homesnap,House & Home,/store/apps/category/HOUSE_AND_HOME
ca.crea.realtor,House & Home,/store/apps/category/HOUSE_AND_HOME
app.orwi.orwi,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.wowprimeapp.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.primeiramesa2,Food & Drink,/store/apps/category/FOOD_AND_DRINK
br.com.chefsclub.app,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.joe.ricepon,Food & Drink,/store/apps/category/FOOD_AND_DRINK
au.com.liven.android,Food & Drink,/store/apps/category/FOOD_AND_DRINK
pl.m4x.sphinx_customer_android_mobile_app_v2,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.mem.MacaoLife,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.appcapsule.atom,Food & Drink,/store/apps/category/FOOD_AND_DRINK
co.uk.aplacecalledcommon.iorder,Food & Drink,/store/apps/category/FOOD_AND_DRINK
ch.lunchcheck.android,Food & Drink,/store/apps/category/FOOD_AND_DRINK
crave.android.customer,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.r3mobi.starsystem,Food & Drink,/store/apps/category/FOOD_AND_DRINK
dinnerdeal.android.customer,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.scrambledeggs.booky,Food & Drink,/store/apps/category/FOOD_AND_DRINK
nl.socialdeal.spontaan,Food & Drink,/store/apps/category/FOOD_AND_DRINK
asia.diningcity.android,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.pauza.hr,Food & Drink,/store/apps/category/FOOD_AND_DRINK
jp.co.burgerkingjapan,Food & Drink,/store/apps/category/FOOD_AND_DRINK
com.hanamaruudon.official,Food & Drink,/store/apps/category/FOOD_AND_DRINK
hu.nemzetikozmuvek.ufsz,Business,/store/apps/category/BUSINESS
